username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
kruszek00,1691416350.931426,False,True,False,False,False,wujekrada,False,False
k_wilinski_,1691416407.7499125,False,True,False,False,False,wujekrada,False,False
m.jozwiaak,1691416463.4421935,False,True,False,False,False,wujekrada,False,False
lil_yg2765,1691416506.3163867,False,False,False,False,True,wujekrada,False,False
kuba_ogorkiewicz,1691416537.8957434,False,False,False,False,False,wujekrada,False,False
monika.kusz99,1691416610.763446,False,False,False,False,False,wujekrada,False,False
__.oliwcia._,1691416694.4905736,False,True,False,False,False,wujekrada,False,False
ambro_024,1691416734.024074,True,False,False,False,False,wujekrada,False,True
_dawciu__,1691416769.4014723,False,False,False,False,False,wujekrada,False,False
adamstich_,1691416846.0876348,False,False,False,False,False,wujekrada,False,False
alicja.hehehe,1691416909.1122923,False,False,False,False,False,wujekrada,False,False
blo.ndi23,1691416984.300927,False,False,False,False,False,wujekrada,True,False
squidibb_sct,1691417036.3439465,False,False,False,False,True,wujekrada,False,False
dumb._en._.el_,1691417128.1070278,False,True,False,False,False,wujekrada,False,False
dxrk_conji,1691417183.480337,False,False,False,False,True,wujekrada,True,False
_mr.j0rdan_,1691417279.4750018,False,True,False,False,False,wujekrada,False,False
w0jt4_s,1691417325.7164905,False,False,False,False,False,wujekrada,False,False
julektulejko,1691417393.637227,False,False,False,False,False,wujekrada,False,False
kubusquatek,1691417475.83795,False,True,False,False,False,wujekrada,False,False
laskowski_sandecki,1691417518.9079328,False,False,False,True,True,wujekrada,False,False
m_qlecki,1691417563.8214865,False,False,False,False,False,wujekrada,False,True
mac1mistrz,1691417657.622394,False,True,False,False,False,wujekrada,False,False
vizardz.__.zvgaj,1691417731.7382908,False,False,False,False,False,wujekrada,False,False
martawokurka,1691417775.8517509,False,False,False,False,False,wujekrada,False,False
kaszalot2000,1691417831.8561797,False,False,False,False,True,wujekrada,False,False
mateusz_dydo,1691417862.2725534,False,False,False,False,False,wujekrada,False,False
yealness_,1691417904.3754666,False,False,False,False,True,wujekrada,False,False
milosz12116,1691417953.864865,False,True,False,False,False,wujekrada,False,False
miloszwojanczyk,1691418019.8260684,False,False,True,False,False,wujekrada,False,False
amelia.pisarek.2,1691418100.5622313,False,False,True,False,False,wujekrada,False,False
oliok_3135,1691418155.470596,False,False,False,False,True,wujekrada,False,False
aniela.pajak,1691418203.8939505,False,False,False,False,True,wujekrada,False,False
p4tryq2002,1691418244.5546868,False,False,False,False,False,wujekrada,False,False
fishing__skull,1691418308.1334536,False,False,False,False,False,wujekrada,False,False
romukkos,1691418376.4739592,False,False,False,False,False,wujekrada,False,False
khinalskiy_28,1691418461.2632873,False,True,False,False,False,wujekrada,False,False
seba_tusz,1691418534.4293756,False,False,False,False,False,wujekrada,False,False
stasniewiada,1691418579.7162752,False,False,False,False,False,wujekrada,False,False
_gibon11,1691418643.5736654,False,False,False,False,False,wujekrada,True,False
topdriversteam,1691418710.7159998,False,False,False,False,False,wujekrada,True,False
sxyskwmsn,1691418753.074433,False,False,False,False,False,wujekrada,False,False
queenvaleria.0.priv,1691418850.145043,False,True,False,False,False,wujekrada,False,False
wixawiki,1691418938.96336,False,True,False,False,False,wujekrada,False,False
wikkkkktor_,1691418981.5483687,False,False,False,False,False,wujekrada,True,False
wiktorek_1999,1691419061.7899668,False,True,False,False,False,wujekrada,False,False
bigw11m,1691419115.7865226,False,True,False,False,False,wujekrada,False,False
emoigusia69,1691419150.380133,False,False,False,True,True,wujekrada,False,False
nie.f.wiem,1691419226.4650173,False,False,False,False,False,wujekrada,False,False
mt_kaulitz,1691419296.7209682,True,False,False,False,False,wujekrada,False,True
kubusss._.123,1691419368.5457191,False,False,False,True,False,wujekrada,False,False
ifnelendn,1691419418.560885,False,True,False,False,False,wojtekgola,False,False
mart_alinkiewicz,1691419452.8448458,False,False,False,False,False,wojtekgola,False,False
maria_n4422,1691419499.0389895,False,False,False,False,False,wojtekgola,False,False
kinitzpv,1691419579.9599278,False,True,False,False,False,wojtekgola,False,False
2biegu_nowosc,1691419653.8702643,False,False,False,False,False,wojtekgola,False,False
kuchlin4,1691419696.3061552,False,False,False,False,False,wojtekgola,False,False
babcia_stasia1,1691419743.2837648,False,False,False,False,False,wojtekgola,False,False
allisonyoung4810,1691419824.6230571,True,False,False,False,False,wojtekgola,False,True
